Site,Date,Depth,DissolvedOxygen,Light,Temperature
Acton Lake,1992-06-03,0,16.8,1710,18.2
Acton Lake,1992-06-03,0.5,NA,670,NA
Acton Lake,1992-06-03,1,16.2,214.3,18
Acton Lake,1992-06-03,2,12.5,31.34,17.5
Acton Lake,1992-06-03,3,7.2,6.07,16.1
Acton Lake,1992-06-03,4,5.3,1.24,15.8
Acton Lake,1992-06-03,5,4.1,0.48,15.2
Acton Lake,1992-06-03,6,2.1,0.41,14.9
Acton Lake,1992-06-03,7,1.5,0.32,14.2
Acton Lake,1992-06-03,8,0.25,0.33,14
Acton Lake,1992-06-10,0,13.9,1989,21
Acton Lake,1992-06-10,0.5,NA,957,NA
Acton Lake,1992-06-10,1,13.6,418.1,20.8
Acton Lake,1992-06-10,2,6.2,65.3,18.2
Acton Lake,1992-06-10,3,0.52,15.1,16.9
Acton Lake,1992-06-10,4,0.4,4.56,15.5
Acton Lake,1992-06-10,5,0.5,1.76,15.1
Acton Lake,1992-06-10,6,0.3,0.36,14.9
Acton Lake,1992-06-10,7,0.25,NA,14.5
Acton Lake,1992-06-10,8,0.2,NA,14.5
Acton Lake,1992-06-17,0,12.1,1290,22.7
Acton Lake,1992-06-17,0.5,11.8,637.8,22.3
Acton Lake,1992-06-17,1,11.4,308.6,22.5
Acton Lake,1992-06-17,2,4.7,53.02,20.9
Acton Lake,1992-06-17,3,0.27,22.41,17
Acton Lake,1992-06-17,4,0.26,8.92,15.9
Acton Lake,1992-06-17,5,0.25,4.3,15.2
Acton Lake,1992-06-17,6,0.24,2.3,14.9
Acton Lake,1992-06-17,7,0.23,1.36,14.5
Acton Lake,1992-06-17,8,0.23,0.88,14.1
Acton Lake,1992-06-26,0,14.4,1035.8,22
Acton Lake,1992-06-26,0.5,14.9,465.8,22
Acton Lake,1992-06-26,1,14.8,153.5,22
Acton Lake,1992-06-26,2,13.4,202.4,21.5
Acton Lake,1992-06-26,3,6.5,7.87,19.9
Acton Lake,1992-06-26,4,3.2,3.28,18.8
Acton Lake,1992-06-26,5,0.9,1.5,18
Acton Lake,1992-06-26,6,0.49,1.68,16
Acton Lake,1992-06-26,7,0.27,1.49,14.8
Acton Lake,1992-06-26,8,0.25,0.81,14
Acton Lake,1992-07-01,0,16.1,506.9,24
Acton Lake,1992-07-01,0.5,16.1,195.7,23.9
Acton Lake,1992-07-01,1,16,101.33,23.6
Acton Lake,1992-07-01,2,11.8,17.05,22.2
Acton Lake,1992-07-01,3,2.75,4.43,20.5
Acton Lake,1992-07-01,4,0.6,3.13,19.7
Acton Lake,1992-07-01,5,0.27,2.09,17.1
Acton Lake,1992-07-01,6,0.25,0.96,16.2
Acton Lake,1992-07-01,7,0.2,0.6,15.2
Acton Lake,1992-07-01,8,0.17,0.35,14.9
Acton Lake,1992-07-10,0,11.8,2112,25
Acton Lake,1992-07-10,0.5,12,1004,25
Acton Lake,1992-07-10,1,12,346.6,25
Acton Lake,1992-07-10,2,11.5,42.54,25
Acton Lake,1992-07-10,3,5.5,6.19,23
Acton Lake,1992-07-10,4,2.8,0.63,22.5
Acton Lake,1992-07-10,5,1,0.07,18.3
Acton Lake,1992-07-10,6,0.5,0.33,17
Acton Lake,1992-07-10,7,0.3,0.35,15.2
Acton Lake,1992-07-10,8,0.25,0.36,15
Acton Lake,1992-07-17,0,7.1,181.1,24
Acton Lake,1992-07-17,0.5,7.2,69.9,24
Acton Lake,1992-07-17,1,7,21.95,24
Acton Lake,1992-07-17,2,6.4,4.76,24
Acton Lake,1992-07-17,3,2.6,1.79,23.5
Acton Lake,1992-07-17,4,0.75,1.07,22
Acton Lake,1992-07-17,5,0.5,0.93,22
Acton Lake,1992-07-17,6,0.5,0.82,20.5
Acton Lake,1992-07-17,7,0.3,0.81,18.5
Acton Lake,1992-07-17,8,0.2,0.61,16
Acton Lake,1992-07-24,0,9.8,145,22.5
Acton Lake,1992-07-24,0.5,10,65.61,22.5
Acton Lake,1992-07-24,1,9.2,28.04,22.2
Acton Lake,1992-07-24,2,6,5.42,21.8
Acton Lake,1992-07-24,3,4.5,1.97,21.2
Acton Lake,1992-07-24,4,1,1.23,20
Acton Lake,1992-07-24,5,0.4,0.92,19.5
Acton Lake,1992-07-24,6,0.3,0.68,18.9
Acton Lake,1992-07-24,7,0.25,0.53,17.8
Acton Lake,1992-07-24,8,0.25,0.47,16.2
Acton Lake,1992-07-30,0,11,324.8,23
Acton Lake,1992-07-30,0.5,11.25,79.34,23
Acton Lake,1992-07-30,1,10.8,32.51,22.9
